text,value
"मोदी  क्या आये दीदी, 
पटेल,बोस, भगत सिंह, राज गुरु, सुखदेव,
सब याद आ गए।

पहले तो नेहरू से बड़ा महान कोई नही था।
   https:// twitter.com/priyankagandhi /status/1189777932379709440   …",0
है कौन ये  मादरचोद,1
आस्था के महापर्व छठी मे जो माँ अपने बच्चों के लिये निर्जला व्रत रखती है वही बच्चा पलायन की मार झेल रहा हो । उस माँ -बेटे का ये निक्कमी  सरकार  नही समझ सकती है । @NitishKumar  @SushilModi  @narendramodi  @PMOIndia,0
वर्ष 2015 में भारत  सरकार  द्वारा 31 अक्टूबर को प्रतिवर्ष राष्ट्रीय एकता दिवस के रूप में मनाने का निर्णय लिया गया । 31 अक्टूबर ही वह दिन है जिस दिन भारत माता को लौह पुरुष सरदार पटेल जैसा हीरा मिला था ।  pic.twitter.com/GCLYgH8Vyg,0
"केजरीवाल  सरकार जो फ्री टिकट देने का ढिंढोरा पीट रही है, उसका सच जानिए, जुड़िए लाइव।  https://www. pscp.tv/w/cIrDzTFkclFl a1pvTGt3amJ8MU95S0FlQXpsYnlLYl1uaQywmU1sX1wGUtyuNXFXyZWoD1eqw9u3nByPzFQK   …",0
"कभी आपने अपने घर पर 1500-2500 रुपए में एक दीया जलाया है?

एक दीये की कीमत मुश्किल से 5रु. और बाती तेल मिला कर अधिकतम 10रु. होगी।

मान लो दीया प्रज्वलित करने आपने एक कर्मचारी 100रु. प्रति दीया भी लगाया तो कीमत 110रू. ही होतीं हैं।

यूपी  सरकार  ने एक दीया लगभग 2400रु. में लिया।",0
बीजेपी को शिवसेना की  गांड  पर लात मारने चाहिए  pic.twitter.com/QIDEJ31A7s,1
"10 साल आपने भी इसी उत्तर प्रदेश की जनता का विश्वास जीता था विकास के नाम पर और विश्वास का नतीजा ये है की न गरीबी गयी न उत्तर प्रदेश का विकास हुआ, हुआ तो सिर्फ विश्वासघात। और आप आज खुद ही अपने  सरकार  की कमियां गिना रहे है। 
@yadavakhilesh https:// twitter.com/yadavakhilesh/ status/1189834901882695685   …",0
क्यों की  गांड़  में डंडा डालने वाले कमजोर है,1
बोलो टोटी चोर क्या मिला pic.twitter.com/0MjqfNGzMj,0
"दिल्ली के पूर्वांचल, बिहार, मिथिला, मैथिली, भोजपुरी संस्थाओं से अनुरोध है कि वे दिल्ली के मुख्यमंत्री श्री अरविंद  केजरीवाल  की घोषणाओं की सच्चाई जानने के लिए सूचना का अधिकार का उपयोग कर जानकारी प्राप्त कर पूरी समीक्षा करें, फिर विश्वास करें। #8505946059,8178949704",0
रंडी  पोर्न स्टार की औलाद प्रकाश राज,1
मोदी  ने राजौरी में जवानों के साथ मनाई दिवाली  https:// hindi.udaipurkiran.com/modi-celebrate d-diwali-with-soldiers-in-rajouri-2/   … pic.twitter.com/AlNfJNENJC,0
# Bhikhari  ये @ImranKhanPTI   बहुत ही शातिर है  बहनचोद  देखा कि 1 साल में कुछ किया तो हु नही तो लगा #Kashmir  का राग अलापने ध्यान हटाने के लिए और #Pakistanis  भी वैसे ही चूतिये है समझ नहीं पा रहे #PoKHamaraHai,1
"जनसंख्या बढ़ाओ देश कब्जाओ..
एक बच्चा पैदा कर उसे डॉक्टर,इंजीनियर,आईपीएस आईएएस, उसेआर्थिक रुप से सम्पन्न बना सकते हैं  
    परन्तु..अब्दुल को तो आठ बच्चे चाहिये क्यो की सत्ता की चाबी तो वोटो में होती हैं... आप कितने मूर्ख..औऱ अब्दुल कितना होशियार .हैं। 
 सरकार  जागो..@narendramodi",0
"जो चीज टूटी है वो लिबरल की  गांड़  है बीबी
दुर्भाग्य ये है कि जुड़ेगी भी नहीं अगले 20-30 साल  https:// twitter.com/tmturkee/statu s/1187623739053068289   …",1
@ KapilMishra_IND  आपने देश और  केजरीवाल  मे से एक को नहीं | आपको नफरत और प्यार मे से एक को चुनना था आपणे नफरत को चुना | ऐसे हि आगे बढिये और जनसंख्या नियंत्रण के नाम पर लोगों मे नफरत फैलाते रहिये |,0
"तकरीबन एक साल बाद रात के 2 बजे उसका फ़ोन आया 
.
.
.
.
.
फिर क्या मेने फ़ोन उठाया और बोला ""रख  मादरचोद  सोने दे"" और काट दिया ।।",1
"राजनीतिक छक्कों और रुदालियों की परम आवश्यकता है,,जो evm पर  रंडी  रोना रो सके 
महाराष्ट्र+हरियाणा
चुनाव",1
"इनके सावरकर आंग्रेजों के सामने झुक कर मरवा लिए,  इनके बाप पाकिस्तानी बिरयानी खा के चले गए 

और इ  भोसडी़  वाला बकैती पेल रहा है",1
इस तर्क के हिसाब से  बहनचोद  का खिताब अकबर ओर मुसलमानों को जाता है ...,1
बचपन में भी  मादरचोद  थे अब महामादरचोद हो गये हो  https:// twitter.com/ashutosh83B/st atus/1189009862459412481   …,1
राजस्थान  सरकार  का एक ही उद्देश्य का साथ सबका विकास राजस्थान  सरकार  योजनाओं के लिए प्रतिबद्ध है आदरणीय जननायक एक ही उद्देश्य है ताकि योजनाओं का लाभ घर-घर ढाणी ढाणी पहुंचे कोई भी योजनाओं से अछूता ना रहे  https:// twitter.com/RajCMO/status/ 1189891430195564544   …,0
